Timestamp,Create a username,Select your five favorite activity types,Select your five favorite food types
11/15/2017 17:33:46,Poopy,"aquariums, cinema, paintball, zoos, fishing","breakfast & brunch, Greek, sandwiches, Japanese, seafood"
11/15/2017 17:33:53,WEISHEME,"aquariums, bowling, paintball, ziplining, fishing","burgers, Chinese, Japanese, pizza, seafood"
11/15/2017 17:33:56,wyldthot,"aquariums, bowling, escape games, cinema, zoos","burgers, breakfast & brunch, Mexican, Japanese, pizza"
11/15/2017 17:34:09,samanthaswim1997,"bowling, ziplining, fishing","burgers, breakfast & brunch, Mexican, Japanese, seafood"
11/15/2017 17:35:47,silverDragon23,"escape games, cinema, paintball, rock climbing, ziplining","burgers, Chinese, Mexican, Greek, Japanese"
11/15/2017 17:38:31,Mchen11998,"aquariums, bowling, cinema, ziplining, zoos","breakfast & brunch, Chinese, Greek, Japanese, seafood"
11/15/2017 17:39:11,123,"aquariums, escape games, cinema, rock climbing, art galleries","Chinese, Mexican, Italian, Japanese, seafood"
11/15/2017 17:39:17,Esreverse,"escape games, cinema, paintball, rock climbing, ziplining","burgers, Chinese, Mexican, Greek, pizza"
11/15/2017 17:39:19,Happyhedgehog,"aquariums, escape games, cinema, zoos","breakfast & brunch, Chinese, sandwiches, Japanese"
11/15/2017 17:40:56,rexelboter,"aquariums, bowling, escape games, cinema, ziplining","burgers, breakfast & brunch, Chinese, Japanese, pizza"
11/15/2017 17:43:09,Steve,"bowling, escape games, cinema, zoos, art galleries","burgers, Chinese, sandwiches, Japanese, seafood"
11/15/2017 17:47:08,tbcs_club,"bowling, paintball, rock climbing, ziplining, fishing","burgers, sandwiches, Japanese, pizza, seafood"
11/15/2017 17:48:02,hamdrewly,"escape games, cinema, ziplining, art galleries","breakfast & brunch, Chinese, Mexican, Italian, Japanese"
11/15/2017 17:50:06,Lycn,"bowling, escape games, ziplining, zoos, fishing","Chinese, Mexican, sandwiches, Japanese, pizza"
11/15/2017 17:50:26,arangatang,"aquariums, bowling, escape games, cinema, paintball, rock climbing, ziplining, zoos, fishing, art galleries","burgers, breakfast & brunch, Chinese, Mexican, Greek, Italian, sandwiches, Japanese, pizza, seafood"
11/15/2017 17:51:13,Uugyftctcycjdydrsrs,"aquariums, bowling, escape games, cinema, paintball, rock climbing, ziplining, zoos, fishing, art galleries","burgers, breakfast & brunch, Chinese, Mexican, Greek, Italian, sandwiches, Japanese, pizza, seafood"
11/15/2017 17:51:52,Gvhshrg Gycgchc Bjcgy,"bowling, rock climbing, ziplining, zoos, fishing","burgers, Mexican, Italian, seafood"
11/15/2017 17:58:08,Jusi ,ziplining,Japanese
11/15/2017 18:02:49,Lamchops,"bowling, escape games, cinema, paintball, rock climbing","burgers, Chinese, Japanese"
11/15/2017 18:06:29,broccoli,"bowling, escape games, cinema, rock climbing, ziplining","breakfast & brunch, Chinese, Mexican, Italian, Japanese"
